Date,Neighborhood,Total Positives
5/17/20,N3: BARNABY WOODS,34
5/17/20,N15: DC MEDICAL CENTER,18
5/17/20,N22: GEORGETOWN,15
5/17/20,N36: NAVAL STATION & AIR FORCE,2
5/17/20,N35: NATIONAL MALL,1
5/18/20,N13: COLUMBIA HEIGHTS,447
5/18/20,N1: 16th ST HEIGHTS,398
5/18/20,N7: BRIGHTWOOD,359
5/18/20,N12: CHINATOWN,276
5/18/20,N37: NAYLOR/HILLCREST,271
5/18/20,N8: BRIGHTWOOD PARK,244
5/18/20,N31: LOGAN CIRCLE/SHAW,242
5/18/20,N38: PETWORTH,234
5/18/20,N45: TRINIDAD,233
