Date,Neighborhood,Confirmed,ZIP_CODE
2020-07-03,N22: GEORGETOWN,21,20007.0
2020-07-03,N36: NAVAL STATION & AIR FORCE,4,20373.0
2020-07-03,N35: NATIONAL MALL,1,20004.0
2020-07-04,N13: COLUMBIA HEIGHTS,694,20010.0
2020-07-04,N1: 16th ST HEIGHTS,625,20011.0
2020-07-04,N7: BRIGHTWOOD,485,20011.0
2020-07-04,N12: CHINATOWN,372,20001.0
2020-07-04,N37: NAYLOR/HILLCREST,362,20020.0
2020-07-04,N38: PETWORTH,353,20011.0
2020-07-04,N8: BRIGHTWOOD PARK,343,20011.0
2020-07-04,N31: LOGAN CIRCLE/SHAW,315,20005.0
2020-07-04,N30: LINCOLN HEIGHTS,314,20019.0
2020-07-04,N45: TRINIDAD,312,20002.0
2020-07-04,N33: MICHIGAN PARK,305,20017.0
2020-07-04,N34: MOUNT PLEASANT,292,20010.0
2020-07-04,N32: MARSHALL HEIGHTS,269,20019.0
2020-07-04,N14: CONGRESS HEIGHTS/SHIPLEY,261,20032.0
2020-07-04,N20: FORT DUPONT,246,20019.0
2020-07-04,N21: FORT LINCOLN/GATEWAY,245,20018.0
2020-07-04,N29: LAMOND RIGGS,224,20011.0
2020-07-04,N46: TWINING,220,20020.0
2020-07-04,N39: SAINT ELIZABETHS,215,20032.0
2020-07-04,N26: HISTORIC ANACOSTIA,215,20373.0
2020-07-04,N42: STADIUM ARMORY,212,20009.0
2020-07-04,N17: EASTLAND GARDENS,205,20019.0
2020-07-04,N4: BELLEVUE,203,20043.0
2020-07-04,N18: EDGEWOOD,201,20002.0
2020-07-04,N47: U ST/PLEASANT,196,20001.0
2020-07-04,N43: SW/WATERFRONT,195,20024.0
2020-07-04,N41: SOUTH COLUMBIA HEIGHTS,188,20009.0
2020-07-04,N16: DOUGLASS,184,20020.0
2020-07-04,N40: SHEPHERD PARK,175,20012.0
2020-07-04,N6: BRENTWOOD,170,20018.0
2020-07-04,N2: ADAMS MORGAN,170,20009.0
2020-07-04,N48: UNION STATION,160,20002.0
2020-07-04,N5: BLOOMINGDALE,140,20001.0
2020-07-04,N44: TENLEYTOWN,137,20016.0
2020-07-04,N23: GEORGETOWN EAST,132,20007.0
2020-07-04,N28: KINGMAN PARK,121,20002.0
2020-07-04,N27: KENT/PALISADES,112,20016.0
2020-07-04,N25: HILL EAST,92,20003.0
2020-07-04,N51: WOODRIDGE,91,20018.0
2020-07-04,N49: WASHINGTON HIGHLANDS,88,20032.0
2020-07-04,N10: CATHEDRAL HEIGHTS,72,20016.0
2020-07-04,N9: CAPITOL HILL,69,20002.0
2020-07-04,N50: WOODLEY PARK,66,20008.0
2020-07-04,N24: GWU,62,20052.0
2020-07-04,N19: FOREST HILLS,62,20008.0
2020-07-04,N11: CHEVY CHASE,51,20015.0
2020-07-04,N3: BARNABY WOODS,40,20015.0
2020-07-04,N22: GEORGETOWN,22,20007.0
2020-07-04,N15: DC MEDICAL CENTER,22,20422.0
2020-07-04,N36: NAVAL STATION & AIR FORCE,4,20373.0
2020-07-04,N35: NATIONAL MALL,1,20004.0
2020-07-05,N13: COLUMBIA HEIGHTS,697,20010.0
2020-07-05,N1: 16th ST HEIGHTS,626,20011.0
2020-07-05,N7: BRIGHTWOOD,485,20011.0
2020-07-05,N12: CHINATOWN,374,20001.0
2020-07-05,N37: NAYLOR/HILLCREST,363,20020.0
2020-07-05,N38: PETWORTH,354,20011.0
2020-07-05,N8: BRIGHTWOOD PARK,347,20011.0
2020-07-05,N31: LOGAN CIRCLE/SHAW,316,20005.0
2020-07-05,N30: LINCOLN HEIGHTS,315,20019.0
2020-07-05,N45: TRINIDAD,312,20002.0
2020-07-05,N33: MICHIGAN PARK,306,20017.0
2020-07-05,N34: MOUNT PLEASANT,292,20010.0
2020-07-05,N32: MARSHALL HEIGHTS,270,20019.0
2020-07-05,N14: CONGRESS HEIGHTS/SHIPLEY,261,20032.0
2020-07-05,N20: FORT DUPONT,246,20019.0
2020-07-05,N21: FORT LINCOLN/GATEWAY,245,20018.0
2020-07-05,N29: LAMOND RIGGS,224,20011.0
2020-07-05,N46: TWINING,221,20020.0
2020-07-05,N26: HISTORIC ANACOSTIA,217,20373.0
2020-07-05,N39: SAINT ELIZABETHS,215,20032.0
2020-07-05,N42: STADIUM ARMORY,212,20009.0
2020-07-05,N17: EASTLAND GARDENS,206,20019.0
2020-07-05,N4: BELLEVUE,204,20043.0
2020-07-05,N18: EDGEWOOD,201,20002.0
2020-07-05,N47: U ST/PLEASANT,197,20001.0
2020-07-05,N43: SW/WATERFRONT,196,20024.0
2020-07-05,N41: SOUTH COLUMBIA HEIGHTS,190,20009.0
2020-07-05,N16: DOUGLASS,186,20020.0
2020-07-05,N40: SHEPHERD PARK,175,20012.0
2020-07-05,N6: BRENTWOOD,171,20018.0
2020-07-05,N2: ADAMS MORGAN,170,20009.0
2020-07-05,N48: UNION STATION,160,20002.0
2020-07-05,N5: BLOOMINGDALE,141,20001.0
2020-07-05,N44: TENLEYTOWN,138,20016.0
2020-07-05,N23: GEORGETOWN EAST,133,20007.0
2020-07-05,N28: KINGMAN PARK,121,20002.0
2020-07-05,N27: KENT/PALISADES,113,20016.0
2020-07-05,N25: HILL EAST,92,20003.0
2020-07-05,N51: WOODRIDGE,91,20018.0
2020-07-05,N49: WASHINGTON HIGHLANDS,88,20032.0
2020-07-05,N10: CATHEDRAL HEIGHTS,72,20016.0
2020-07-05,N9: CAPITOL HILL,69,20002.0
2020-07-05,N50: WOODLEY PARK,66,20008.0
2020-07-05,N24: GWU,62,20052.0
2020-07-05,N19: FOREST HILLS,62,20008.0
2020-07-05,N11: CHEVY CHASE,52,20015.0
2020-07-05,N3: BARNABY WOODS,40,20015.0
2020-07-05,N22: GEORGETOWN,22,20007.0
2020-07-05,N15: DC MEDICAL CENTER,22,20422.0
2020-07-05,N36: NAVAL STATION & AIR FORCE,4,20373.0
2020-07-05,N35: NATIONAL MALL,1,20004.0
2020-07-06,N13: COLUMBIA HEIGHTS,699,20010.0
2020-07-06,N1: 16th ST HEIGHTS,631,20011.0
2020-07-06,N7: BRIGHTWOOD,486,20011.0
2020-07-06,N12: CHINATOWN,376,20001.0
2020-07-06,N37: NAYLOR/HILLCREST,364,20020.0
2020-07-06,N38: PETWORTH,355,20011.0
2020-07-06,N8: BRIGHTWOOD PARK,348,20011.0
2020-07-06,N31: LOGAN CIRCLE/SHAW,317,20005.0
2020-07-06,N45: TRINIDAD,316,20002.0
2020-07-06,N30: LINCOLN HEIGHTS,315,20019.0
2020-07-06,N33: MICHIGAN PARK,307,20017.0
2020-07-06,N34: MOUNT PLEASANT,292,20010.0
2020-07-06,N32: MARSHALL HEIGHTS,271,20019.0
2020-07-06,N14: CONGRESS HEIGHTS/SHIPLEY,261,20032.0
2020-07-06,N20: FORT DUPONT,247,20019.0
2020-07-06,N21: FORT LINCOLN/GATEWAY,246,20018.0
2020-07-06,N29: LAMOND RIGGS,225,20011.0
2020-07-06,N46: TWINING,222,20020.0
2020-07-06,N26: HISTORIC ANACOSTIA,218,20373.0
2020-07-06,N39: SAINT ELIZABETHS,214,20032.0
2020-07-06,N17: EASTLAND GARDENS,213,20019.0
2020-07-06,N42: STADIUM ARMORY,212,20009.0
2020-07-06,N4: BELLEVUE,203,20043.0
2020-07-06,N18: EDGEWOOD,203,20002.0
2020-07-06,N47: U ST/PLEASANT,200,20001.0
2020-07-06,N43: SW/WATERFRONT,195,20024.0
2020-07-06,N41: SOUTH COLUMBIA HEIGHTS,189,20009.0
2020-07-06,N16: DOUGLASS,187,20020.0
